order	family	Genus	species	mass(g)	gestation(mo)	newborn(g)	weaning(mo)	wean mass(g)	AFR(mo)	max. life(mo)	litter size	litters/year	refs
Carnivora	Canidae	Vulpes	zerda	1200.00	1.71	26.28	2.18	-999.00	9.87	175	2.45	1.00	"1,2,23"
Carnivora	Canidae	Vulpes	velox	2766.67	1.71	39.65	1.69	-999.00	11.01	240	4.44	1.00	"1,2,6,11,13,17,23,26"
Carnivora	Felidae	Acinonyx	jubatus	58750.00	3.35	403.96	3.67	1940.00	25.41	228	3.04	0.65	"1,2,10,23,25,29"
Carnivora	Felidae	Caracal	caracal	14000.00	2.43	165.00	4.17	-999.00	16.51	216	3.08	-999.00	"1,2,23"
Carnivora	Felidae	Catopuma	temminckii	11500.00	2.67	250.00	-999.00	-999.00	21.00	240	1.28	-999.00	"1,2"
Carnivora	Felidae	Felis	chaus	10000.00	2.05	126.62	3.00	2212.50	15.82	240	3.48	2.00	"1,2,23"
Carnivora	Felidae	Felis	margarita	2350.00	2.20	55.50	-999.00	-999.00	9.00	156	4.50	2.00	"1,2,29"
Carnivora	Felidae	Felis	silvestris	4150.00	2.15	101.87	2.25	630.79	10.24	180	3.69	2.02	"1,2,10,23,29"
Carnivora	Felidae	Felis	nigripes	2125.00	2.20	70.87	-999.00	-999.00	17.04	-999	1.91	2.50	"1,2,23,29"
Carnivora	Felidae	Herpailurus	yaguarondi	6750.00	2.33	-999.00	-999.00	-999.00	26.40	180	2.34	2.00	"1,2,11,17,26"
Carnivora	Felidae	Leopardus	wiedii	3666.67	2.67	118.00	1.83	785.10	21.65	252	1.38	-999.00	"1,2,4,11,23,26"
Carnivora	Felidae	Leopardus	tigrinus	2250.00	2.51	-999.00	1.83	-999.00	-999.00	-999	1.50	-999.00	"1,2,3,29"
Carnivora	Felidae	Leopardus	pardalis	8800.00	2.64	254.40	3.50	3400.00	21.80	257	1.54	0.75	"1,2,11,23,26,29"
Carnivora	Felidae	Leptailurus	serval	13350.00	2.36	253.20	4.20	-999.00	26.75	237	2.18	2.00	"1,2,29"
Carnivora	Felidae	Lynx	pardinus	9400.00	2.18	-999.00	-999.00	-999.00	-999.00	156	2.50	-999.00	"1,2"
Carnivora	Felidae	Lynx	rufus	8600.00	1.86	301.00	2.55	1190.00	17.06	388	2.82	0.94	"1,2,8,23,26"
Carnivora	Felidae	Lynx	lynx	18026.67	2.33	269.50	3.10	1860.00	16.36	264	2.25	1.00	"1,2,10,11,23"
Carnivora	Felidae	Lynx	canadensis	8900.00	2.18	204.00	5.00	-999.00	17.60	321	3.19	1.00	"1,2,26,29"
Carnivora	Felidae	Neofelis	nebulosa	19500.00	3.06	215.33	4.26	5427.50	26.30	234	2.47	-999.00	"1,2,29"
Carnivora	Felidae	Oncifelis	colocolo	2950.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999	2.50	-999.00	4
Carnivora	Felidae	Oncifelis	geoffroyi	4000.00	2.45	86.18	2.25	-999.00	-999.00	252	2.04	1.33	"1,2,4,11"
Carnivora	Felidae	Otocolobus	manul	3500.00	2.37	89.00	-999.00	-999.00	12.00	-999	4.14	-999.00	"1,2"
Carnivora	Felidae	Panthera	tigris	119700.00	3.51	1248.59	5.48	19556.00	41.12	315	2.57	0.40	"1,2,10,11,23,29"
Carnivora	Felidae	Panthera	onca	81150.00	3.39	831.89	4.13	5033.50	35.56	264	2.46	0.50	"1,2,4,10,11,23,29"
Carnivora	Felidae	Panthera	leo	139500.00	3.62	1377.45	7.22	8480.00	35.98	360	2.90	0.66	"1,2,10,23,25,29"
Carnivora	Felidae	Panthera	pardus	42325.00	3.22	363.49	2.88	1940.00	34.10	276	2.38	0.83	"1,2,10,23,29"
Carnivora	Felidae	Pardofelis	marmorata	3500.00	-999.00	85.00	-999.00	-999.00	-999.00	-999	2.00	-999.00	"1,2"
Carnivora	Felidae	Prionailurus	viverrinus	10850.00	2.29	170.00	2.92	-999.00	-999.00	-999	2.12	-999.00	"1,2,29"
Carnivora	Felidae	Prionailurus	rubiginosus	1350.00	2.23	-999.00	-999.00	-999.00	-999.00	192	2.13	-999.00	"1,2"
Carnivora	Felidae	Prionailurus	bengalensis	4150.00	2.17	93.86	1.47	620.00	18.52	180	2.64	-999.00	"1,2,10,23,29"
Carnivora	Felidae	Profelis	aurata	10650.00	-999.00	248.33	-999.00	-999.00	-999.00	-999	2.00	-999.00	"1,2"
Carnivora	Felidae	Puma	concolor	48000.00	3.07	388.22	4.20	3500.00	26.91	240	2.85	0.47	"1,2,4,11,23,26,29"
Carnivora	Felidae	Uncia	uncia	45625.00	3.28	463.45	2.54	7500.00	30.11	252	2.22	1.00	"1,2,11,23,29"
Carnivora	Herpestidae	Atilax	paludinosus	3300.00	2.49	100.23	1.43	631.85	-999.00	228	2.42	-999.00	"1,2,11"
Carnivora	Herpestidae	Bdeogale	crassicauda	1570.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999	1.00	-999.00	"1,16"
Carnivora	Herpestidae	Crossarchus	obscurus	727.00	2.25	-999.00	0.75	-999.00	9.00	108	4.00	2.50	"1,11"
Carnivora	Herpestidae	Cynictis	penicillata	598.50	1.84	-999.00	2.00	-999.00	24.00	182	1.67	2.00	"1,2,11"
Carnivora	Herpestidae	Galerella	pulverulenta	683.00	2.00	-999.00	1.92	-999.00	-999.00	-999	2.60	-999.00	"1,2,16"
Carnivora	Herpestidae	Galerella	sanguinea	448.00	2.00	-999.00	1.73	-999.00	-999.00	-999	2.23	2.00	"1,16"
Carnivora	Herpestidae	Galidia	elegans	800.00	2.61	50.00	1.94	183.00	24.22	293	1.00	1.00	"1,2,23,29"
Carnivora	Herpestidae	Galidictis	fasciata	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999	1.00	1.00	"1,2"
Carnivora	Herpestidae	Helogale	parvula	274.80	1.80	-999.00	-999.00	-999.00	13.50	-999	3.38	2.33	"1,16,23,29"
Carnivora	Herpestidae	Herpestes	javanicus	800.00	1.62	25.92	1.65	275.00	9.90	-999	2.24	-999.00	"1,2,16,23"
Carnivora	Herpestidae	Herpestes	edwardsii	1008.00	1.98	-999.00	-999.00	-999.00	-999.00	-999	2.60	-999.00	"1,16,29"
Carnivora	Herpestidae	Herpestes	ichneumon	2920.00	2.39	-999.00	2.00	800.00	24.00	-999	2.91	1.00	"1,2,16"
Carnivora	Herpestidae	Ichneumia	albicauda	3150.00	-999.00	-999.00	9.00	-999.00	-999.00	121	2.33	-999.00	"1,2,11"
Carnivora	Herpestidae	Mungos	mungo	1331.50	2.02	22.10	-999.00	-999.00	11.29	144	3.24	1.00	"1,2,16,23,25,29"
Carnivora	Herpestidae	Mungotictis	decemlineata	700.00	3.27	50.00	1.29	-999.00	24.39	-999	1.00	-999.00	"1,2,23,29"
Carnivora	Herpestidae	Paracynictis	selousi	1800.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999	2.50	-999.00	"1,2"
Carnivora	Herpestidae	Suricata	suricatta	776.00	2.57	31.33	1.44	212.75	10.80	152	3.63	1.00	"1,2,10,23,29"
Carnivora	Hyaenidae	Crocuta	crocuta	63000.00	3.45	1353.33	10.57	14500.00	33.00	493	2.00	1.00	"1,2,17,25,27"
Carnivora	Hyaenidae	Hyaena	hyaena	40000.00	3.01	669.50	9.17	-999.00	28.11	282	2.61	-999.00	"1,2,11,23"
Carnivora	Hyaenidae	Parahyaena	brunnea	60200.00	3.08	727.28	7.67	27400.00	36.00	348	2.28	0.40	"1,2,11"
Carnivora	Hyaenidae	Proteles	cristatus	10000.00	2.90	-999.00	3.52	-999.00	-999.00	227	2.77	-999.00	"1,2,11"
Carnivora	Mustelidae	Amblonyx	cinereus	3000.00	2.07	57.00	2.67	-999.00	-999.00	192	1.42	2.00	"1,2"
Carnivora	Mustelidae	Aonyx	congicus	24000.00	-999.00	-999.00	-999.00	-999.00	14.20	-999	-999.00	-999.00	23
Carnivora	Mustelidae	Aonyx	capensis	11800.00	2.10	1050.00	1.75	3360.00	12.00	168	2.56	-999.00	"1,2,11"
Carnivora	Mustelidae	Arctonyx	collaris	10500.00	1.50	58.00	3.42	-999.00	-999.00	-999	3.50	-999.00	"1,2"
Carnivora	Mustelidae	Conepatus	leuconotus	3500.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999	3.00	-999.00	"1,18"
Carnivora	Mustelidae	Conepatus	semistriatus	1200.00	2.00	-999.00	-999.00	-999.00	-999.00	-999	4.50	-999.00	"3,16"
Carnivora	Mustelidae	Conepatus	mesoleucus	1996.67	1.70	-999.00	-999.00	-999.00	10.50	-999	3.83	1.50	"1,16,26"
Carnivora	Mustelidae	Eira	barbara	4500.00	2.19	82.25	2.71	1707.50	-999.00	216	1.92	-999.00	"1,2,3,4"
Carnivora	Mustelidae	Enhydra	lutris	21800.00	7.10	1909.17	5.77	12666.67	43.13	240	1.00	0.83	"1,2,11,23,26"
Carnivora	Mustelidae	Galictis	vittata	2350.00	1.30	-999.00	-999.00	-999.00	-999.00	126	2.00	-999.00	"2,3"
Carnivora	Mustelidae	Gulo	gulo	16333.33	1.69	90.53	2.60	-999.00	26.76	208	2.84	0.45	"1,2,11,23"
Carnivora	Mustelidae	Ictonyx	libyca	500.00	1.68	5.00	1.25	250.00	-999.00	-999	2.00	-999.00	"1,2"
Carnivora	Mustelidae	Ictonyx	striatus	765.00	1.20	12.50	2.60	170.00	9.26	160	2.17	1.00	"1,2,10,23"
Carnivora	Mustelidae	Lontra	longicaudis	7500.00	1.87	-999.00	-999.00	-999.00	-999.00	-999	2.50	-999.00	"1,4,11"
Carnivora	Mustelidae	Lontra	felina	-999.00	2.45	-999.00	-999.00	-999.00	-999.00	-999	3.25	-999.00	"1,2,4"
Carnivora	Mustelidae	Lontra	canadensis	6225.00	2.01	141.00	4.38	1510.00	29.97	276	2.72	0.94	"1,2,6,8,23,26,29"
Carnivora	Mustelidae	Lutra	maculicollis	4000.00	2.00	-999.00	-999.00	-999.00	-999.00	-999	2.00	-999.00	"1,16"
Carnivora	Mustelidae	Lutra	lutra	6750.00	2.20	-999.00	1.90	-999.00	12.00	-999	2.06	1.00	"1,16,29"
Carnivora	Mustelidae	Lutrogale	perspicillata	9000.00	2.07	-999.00	-999.00	-999.00	-999.00	240	5.00	-999.00	"1,2"
Carnivora	Mustelidae	Martes	flavigula	2500.00	-999.00	-999.00	-999.00	-999.00	-999.00	168	2.50	-999.00	"1,2"
Carnivora	Mustelidae	Martes	zibellina	1066.67	1.50	31.25	1.79	600.00	17.34	180	3.20	-999.00	"1,2,23"
Carnivora	Mustelidae	Martes	foina	1700.00	3.19	-999.00	1.42	-999.00	18.00	217	3.79	-999.00	"1,2"
Carnivora	Mustelidae	Martes	americana	606.67	0.93	32.67	1.50	414.00	17.67	204	2.73	1.00	"1,2,6,23,26"
Carnivora	Mustelidae	Martes	pennanti	2600.00	1.33	34.78	2.61	-999.00	17.33	120	2.92	1.00	"1,2,6,11,23,26"
Carnivora	Mustelidae	Martes	martes	1300.00	1.73	30.00	1.87	680.00	24.09	204	3.80	1.00	"1,2,23,29"
Carnivora	Mustelidae	Meles	meles	13000.00	1.89	84.25	3.18	-999.00	13.25	194	3.11	0.75	"1,6,23,29"
Carnivora	Mustelidae	Mellivora	capensis	10000.00	5.86	210.00	-999.00	-999.00	-999.00	317	2.33	2.00	"1,2,6"
Carnivora	Mustelidae	Melogale	personata	2000.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999	3.00	-999.00	"1,16"
Carnivora	Mustelidae	Mephitis	macroura	965.00	2.00	-999.00	-999.00	-999.00	-999.00	-999	5.33	-999.00	"1,11"
Carnivora	Mustelidae	Mephitis	mephitis	1821.25	1.63	28.10	2.08	493.50	11.17	60	5.10	1.21	"1,6,8,10,11,23,26,29"
Carnivora	Mustelidae	Mustela	nigripes	809.00	1.44	-999.00	-999.00	-999.00	12.00	144	3.43	-999.00	"1,2"
Carnivora	Mustelidae	Mustela	lutreola	440.00	3.32	7.50	1.88	-999.00	10.67	120	4.50	-999.00	"1,2"
Carnivora	Mustelidae	Mustela	altaica	171.00	1.25	-999.00	1.63	-999.00	-999.00	-999	6.10	-999.00	"1,2"
Carnivora	Mustelidae	Mustela	sibirica	405.00	1.06	-999.00	2.00	-999.00	-999.00	106	7.00	-999.00	"1,2"
Carnivora	Mustelidae	Mustela	vison	899.75	1.19	8.64	1.60	110.00	8.59	120	4.76	1.00	"1,2,6,10,23"
Carnivora	Mustelidae	Mustela	frenata	150.60	0.82	3.10	1.22	34.60	5.33	-999	6.22	1.00	"1,2,6,11,23,26,29"
Carnivora	Mustelidae	Mustela	erminea	110.33	1.43	2.30	1.49	26.57	3.12	84	6.77	1.00	"1,2,10,11,23,26"
Carnivora	Mustelidae	Mustela	eversmannii	1350.00	1.20	5.73	1.67	-999.00	10.50	-999	9.41	1.00	"1,2"
Carnivora	Mustelidae	Mustela	putorius	588.67	1.05	9.26	1.64	-999.00	10.00	168	7.68	1.26	"1,2,8,29"
Carnivora	Mustelidae	Mustela	nivalis	49.75	1.32	2.61	1.39	36.00	3.73	120	5.37	1.67	"1,2,10,23,26,29"
Carnivora	Mustelidae	Poecilogale	albinucha	257.50	1.05	4.00	2.14	50.00	14.43	-999	2.20	1.25	"1,2,10,11,23"
Carnivora	Mustelidae	Pteronura	brasiliensis	24000.00	2.26	202.83	3.67	-999.00	24.00	174	1.94	1.00	"1,2"
Carnivora	Mustelidae	Spilogale	pygmaea	260.00	1.57	6.90	-999.00	-999.00	-999.00	-999	3.67	1.00	"1,11"
Carnivora	Mustelidae	Spilogale	putorius	511.50	2.19	13.80	1.64	160.00	7.50	118	4.73	1.50	"1,2,6,10,11,29"
Carnivora	Mustelidae	Taxidea	taxus	6050.00	1.83	101.88	1.68	3000.00	7.35	312	3.07	0.74	"1,2,8,23,29"
Carnivora	Mustelidae	Vormela	peregusna	542.50	2.00	-999.00	1.00	-999.00	3.00	107	5.76	-999.00	"1,2"
Carnivora	Odobenidae	Odobenus	rosmarus	650000.00	11.50	51883.33	20.37	200000.00	52.14	480	1.14	0.50	"1,2,11,23,26,29"
Carnivora	Otariidae	Arctocephalus	galapagoensis	27000.00	7.00	3533.33	16.60	15000.00	42.00	264	1.00	0.50	"1,2"
Carnivora	Otariidae	Arctocephalus	tropicalis	50000.00	11.75	4420.00	7.85	-999.00	-999.00	-999	1.00	1.00	"1,2,15,29"
Carnivora	Otariidae	Arctocephalus	forsteri	55000.00	7.75	3833.33	11.00	-999.00	60.00	-999	1.00	1.00	"1,2"
Carnivora	Otariidae	Arctocephalus	gazella	40500.00	9.00	5933.33	3.90	15800.00	34.00	240	1.00	1.00	"1,2,13"
Carnivora	Otariidae	Arctocephalus	pusillus	77666.67	9.17	5955.56	11.57	26150.00	42.53	252	1.00	1.00	"1,2,23,29"
Carnivora	Otariidae	Arctocephalus	australis	45000.00	7.75	4250.00	13.50	-999.00	36.00	360	1.00	1.00	"1,2,13"
Carnivora	Otariidae	Eumetopias	jubatus	288932.50	8.75	19215.00	9.71	106610.00	56.08	360	1.00	1.00	"1,2,6,11,23,26"
Carnivora	Otariidae	Neophoca	cinerea	79633.33	11.75	7075.00	18.75	59724.00	36.00	192	1.00	0.69	"1,2,11"
Carnivora	Otariidae	Otaria	byronia	140000.00	12.00	12763.33	12.00	-999.00	44.28	298	1.00	1.00	"1,2,23"
Carnivora	Otariidae	Phocarctos	hookeri	-999.00	12.00	7000.00	8.67	-999.00	-999.00	276	1.00	1.00	"1,2"
Carnivora	Otariidae	Zalophus	californianus	84666.67	11.14	6817.14	10.75	25000.00	68.00	300	1.00	1.00	"1,2,26"
Carnivora	Otariidae 	Callorhinus	ursinus	49100.00	8.37	5182.73	3.22	12920.00	48.90	312	1.00	0.89	"1,2,6,8,23,29"
Carnivora	Phocidae	Cystophora	cristata	212000.00	8.01	15388.89	0.30	44980.00	35.88	420	1.00	1.00	"1,2,11,23,26,29"
Carnivora	Phocidae	Erignathus	barbatus	286666.67	8.71	36950.00	1.00	72666.67	65.02	372	1.00	1.00	"1,2,23,29"
Carnivora	Phocidae	Halichoerus	grypus	186000.00	7.87	12820.00	0.61	43077.78	50.52	552	1.00	0.93	"1,2,8,23,26,29"
Carnivora	Phocidae	Hydrurga	leptonyx	398666.67	9.50	30875.00	1.00	-999.00	41.70	312	1.00	-999.00	"1,2,23"
Carnivora	Phocidae	Leptonychotes	weddellii	421666.67	9.60	28394.00	1.33	117917.14	48.51	300	1.00	-999.00	"1,2,11,23,29"
Carnivora	Phocidae	Lobodon	carcinophagus	238333.33	8.50	22333.33	1.09	120000.00	48.16	468	1.00	1.00	"1,2,23,29"
Carnivora	Phocidae	Mirounga	leonina	579400.00	7.63	39918.89	0.76	130192.31	31.29	276	1.00	0.86	"1,2,8,23,29"
Carnivora	Phocidae	Mirounga	angustirostris	716666.67	8.45	35250.00	0.88	138037.14	41.62	240	1.00	1.00	"1,2,11,26"
Carnivora	Phocidae	Monachus	monachus	275000.00	10.00	19600.00	1.55	-999.00	48.00	284	1.00	-999.00	"1,2"
Carnivora	Phocidae	Monachus	schauinslandi	173000.00	11.00	30675.00	1.24	64000.00	60.00	360	1.00	0.50	"1,2,29"
Carnivora	Phocidae	Ommatophoca	rossii	187666.67	8.13	20266.67	1.00	-999.00	41.51	252	1.00	1.00	"1,2,23"
Carnivora	Phocidae	Phoca	largha	80000.00	10.50	7100.00	0.78	21300.00	42.00	420	1.00	-999.00	"1,2,26"
Carnivora	Phocidae	Phoca	caspica	86000.00	11.00	5000.00	1.00	-999.00	61.00	600	1.00	-999.00	"1,2,13"
Carnivora	Phocidae	Phoca	hispida	86140.00	8.20	5909.09	1.60	11350.00	73.93	516	1.00	0.80	"1,2,8,23,26"
Carnivora	Phocidae	Phoca	groenlandica	128786.67	7.63	8476.92	0.37	34377.78	49.80	-999	1.00	1.00	"1,2,23,26,29"
Carnivora	Phocidae	Phoca	fasciata	82500.00	9.00	10250.00	0.88	30000.00	29.43	240	1.00	1.00	"1,2,26"
Carnivora	Phocidae	Phoca	vitulina	101250.00	8.35	11083.64	1.13	23945.00	46.51	408	1.00	1.00	"1,2,23,26"
Carnivora	Phocidae	Phoca	sibirica	81666.67	9.00	3000.00	2.14	66900.00	57.88	672	1.01	1.00	"1,2,11,23"
Carnivora	Procyonidae	Bassaricyon	gabbii	1242.50	2.45	51.00	-999.00	-999.00	21.35	-999	1.00	-999.00	"3,18,23,29"
Carnivora	Procyonidae	Bassariscus	sumichrasti	900.00	2.15	-999.00	-999.00	-999.00	-999.00	281	1.50	-999.00	"1,2"
Carnivora	Procyonidae	Bassariscus	astutus	975.50	1.81	28.58	2.26	219.35	10.70	192	2.70	1.00	"1,2,6,10,11,23,26,29"
Carnivora	Procyonidae	Nasua	nasua	4750.00	2.51	153.33	2.82	730.00	32.00	-999	3.81	-999.00	"1,10,11,23,29"
Carnivora	Procyonidae	Nasua	narica	3750.00	2.56	140.00	4.17	-999.00	23.00	204	4.17	-999.00	"2,4,11,26"
Carnivora	Procyonidae	Potos	flavus	3000.00	3.84	165.66	3.35	-999.00	27.65	384	1.00	1.00	"1,2,3,11,23,29"
Carnivora	Procyonidae	Procyon	cancrivorus	6270.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999	2.75	-999.00	"1,3,16"
Carnivora	Procyonidae	Procyon	lotor	4400.00	2.13	76.14	2.95	1200.00	11.34	247	3.39	1.00	"1,2,3,7,10,23,26,29"
Carnivora	Ursidae	Ailuropoda	melanoleuca	111600.00	4.31	109.29	6.70	15000.00	77.26	408	1.54	0.70	"1,2,8,10,11,23,29"
Carnivora	Ursidae	Ailurus	fulgens	4325.00	4.30	120.17	4.00	1140.00	19.51	210	2.02	1.00	"1,2,11,10,23,29"
Carnivora	Ursidae	Helarctos	malayanus	46000.00	3.68	275.00	3.00	-999.00	78.00	372	1.16	-999.00	"1,2,11,17,29"
Carnivora	Ursidae	Melursus	ursinus	100000.00	6.42	-999.00	2.50	-999.00	-999.00	480	1.69	-999.00	"1,2"
Carnivora	Ursidae	Tremarctos	ornatus	61000.00	7.33	320.00	2.96	-999.00	-999.00	464	1.65	-999.00	"1,2"
Carnivora	Ursidae	Ursus	thibetanus	76666.67	7.00	351.67	3.25	-999.00	31.33	432	1.67	-999.00	"1,2,23"
Carnivora	Ursidae	Ursus	maritimus	286366.67	8.11	634.25	12.68	31156.00	55.22	540	1.66	0.36	"1,2,11,23,29"
Carnivora	Ursidae	Ursus	arctos	203500.00	6.93	494.82	13.78	26000.00	60.01	472	2.36	0.36	"1,2,11,23"
Carnivora	Ursidae	Ursus	americanus	110560.00	6.75	294.47	6.42	14050.00	40.71	372	2.54	0.38	"1,2,8,10,23"
Carnivora	Viverridae	Arctictis	binturong	12250.00	2.74	316.38	2.59	2100.00	30.34	311	2.63	2.00	"1,2,10,23,29"
Carnivora	Viverridae	Arctogalidia	trivirgata	2250.00	1.50	-999.00	2.00	-999.00	36.00	193	2.50	2.00	"1,2"
Carnivora	Viverridae	Chrotogale	owstoni	3250.00	2.00	81.50	-999.00	-999.00	-999.00	-999	2.00	1.50	2
Carnivora	Viverridae	Civettictis	civetta	13666.67	2.31	417.00	4.19	1955.75	14.62	336	2.26	2.25	"1,2,23,25,29"
Carnivora	Viverridae	Cryptoprocta	ferox	9500.00	3.00	100.00	4.08	-999.00	49.17	240	3.00	-999.00	"1,2,23,29"
Carnivora	Viverridae	Cynogale	bennettii	4000.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999	2.00	-999.00	"1,2"
Carnivora	Viverridae	Eupleres	goudotii	3000.00	-999.00	150.00	2.13	-999.00	-999.00	-999	1.50	-999.00	"1,2,29"
Carnivora	Viverridae	Fossa	fossana	1540.00	2.90	67.50	2.28	-999.00	23.92	132	1.00	-999.00	"1,2,23,29"
Carnivora	Viverridae	Genetta	maculata	2225.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999	2.33	-999.00	"1,18"
Carnivora	Viverridae	Genetta	genetta	1866.67	2.50	74.20	2.75	-999.00	48.64	258	2.34	2.00	"1,2,11,23"
Carnivora	Viverridae	Genetta	tigrina	1820.00	2.32	71.00	1.94	-999.00	-999.00	-999	2.38	2.00	"1,16,17,25,29"
Carnivora	Viverridae	Hemigalus	derbyanus	2375.00	-999.00	125.00	2.33	-999.00	-999.00	216	2.00	-999.00	"1,2"
Carnivora	Viverridae	Nandinia	binotata	1900.00	2.13	-999.00	2.13	-999.00	36.27	190	2.00	2.00	"1,2,23"
Carnivora	Viverridae	Paguma	larvata	4300.00	-999.00	-999.00	-999.00	-999.00	-999.00	240	2.39	2.00	"1,2"
Carnivora	Viverridae	Paradoxurus	zeylonensis	2380.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999	2.50	-999.00	"1,16"
Carnivora	Viverridae	Paradoxurus	hermaphroditus	3100.00	1.50	87.08	-999.00	-999.00	11.22	300	3.29	2.00	"1,2,16,17,23"
Carnivora	Viverridae	Prionodon	pardicolor	4500.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999	2.00	-999.00	"1,16"
Carnivora	Viverridae	Prionodon	linsang	698.00	-999.00	40.00	-999.00	-999.00	-999.00	128	2.00	-999.00	"1,2"
Carnivora	Viverridae	Viverra	zibetha	10000.00	-999.00	-999.00	1.00	-999.00	-999.00	240	2.60	2.00	"1,2,16"
Carnivora	Viverridae	Viverricula	indica	3000.00	-999.00	-999.00	4.25	-999.00	-999.00	126	3.88	-999.00	"1,2"
Cetacea	Balaenidae	Balaena	mysticetus	80000000.00	12.37	-999.00	11.25	-999.00	210.00	1200	1.00	0.29	"1,2,23,26,29"
Cetacea	Balaenidae	Eubalaena	australis	23000000.00	12.55	-999.00	-999.00	-999.00	108.00	-999	1.00	-999.00	"1,2"
Cetacea	Balaenidae	Eubalaena	glacialis	23000000.00	11.50	-999.00	7.00	-999.00	110.00	804	1.00	0.29	"1,2,26"
Cetacea	Balaenopteridae	Balaenoptera	physalus	66800000.00	10.93	1850000.00	6.50	-999.00	89.70	1368	1.01	0.36	"1,2,23,26,29"
Cetacea	Balaenopteridae	Balaenoptera	musculus	149000000.00	10.71	2250000.00	7.08	19075000.00	72.34	1320	1.01	0.41	"1,2,23,26,29"
Cetacea	Balaenopteridae	Balaenoptera	borealis	14766666.67	11.40	650000.00	7.56	-999.00	77.15	888	1.01	0.45	"1,2,23,26,29"
Cetacea	Balaenopteridae	Balaenoptera	edeni	20000000.00	12.35	-999.00	9.00	-999.00	105.25	864	1.00	0.50	"1,2,16,23"
Cetacea	Balaenopteridae	Balaenoptera	acutorostrata	16266666.67	10.15	-999.00	5.00	-999.00	98.73	564	1.01	1.00	"1,2,23,26,29"
Cetacea	Balaenopteridae	Megaptera	novaeangliae	30000000.00	11.43	1325000.00	9.08	-999.00	64.28	924	1.01	0.50	"1,2,11,23,26,29"
Cetacea	Delphinidae	Cephalorhynchus	heavisidii	-999.00	-999.00	9500.00	-999.00	-999.00	-999.00	-999	-999.00	-999.00	1
Cetacea	Delphinidae	Cephalorhynchus	commersonii	72400.00	12.00	5500.00	-999.00	-999.00	78.00	216	1.00	-999.00	"1,2,16"
Cetacea	Delphinidae	Cephalorhynchus	hectori	-999.00	-999.00	-999.00	-999.00	-999.00	93.00	240	1.00	0.42	"1,2"
Cetacea	Delphinidae	Delphinus	delphis	76365.00	9.57	7050.00	10.50	40000.00	55.02	240	1.00	0.42	"1,2,23,29"
Cetacea	Delphinidae	Feresa	attenuata	133000.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999	1.00	-999.00	"1,2"
Cetacea	Delphinidae	Globicephala	melas	1060000.00	14.80	109666.67	26.69	-999.00	81.22	720	1.00	0.20	"1,2,23,26,29"
Cetacea	Delphinidae	Globicephala	macrorhynchus	726000.00	15.25	60000.00	48.00	-999.00	106.20	756	1.00	0.24	"1,2,16,26"
Cetacea	Delphinidae	Grampus	griseus	425000.00	12.00	-999.00	-999.00	-999.00	-999.00	-999	-999.00	-999.00	"1,2"
Cetacea	Delphinidae	Lagenodelphis	hosei	164000.00	11.00	-999.00	-999.00	-999.00	87.00	192	1.00	-999.00	"1,2,11,26"
Cetacea	Delphinidae	Lagenorhynchus	albirostris	180000.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999	1.00	-999.00	"1,16"
Cetacea	Delphinidae	Lagenorhynchus	obliquidens	103000.00	10.00	-999.00	-999.00	-999.00	126.00	552	1.00	-999.00	"1,2,26"
Cetacea	Delphinidae	Lagenorhynchus	acutus	182000.00	10.50	24000.00	18.00	-999.00	73.34	324	1.00	0.40	"1,2,23,26"
Cetacea	Delphinidae	Lagenorhynchus	obscurus	110000.00	11.63	-999.00	12.00	-999.00	-999.00	-999	1.00	0.42	"2,16"
Cetacea	Delphinidae	Orcaella	brevirostris	190000.00	14.00	12300.00	15.50	45000.00	-999.00	360	1.00	-999.00	"1,2,11"
Cetacea	Delphinidae	Orcinus	orca	4300000.00	14.89	159333.33	15.50	-999.00	138.22	1080	1.00	0.21	"1,2,11,26"
Cetacea	Delphinidae	Peponocephala	electra	206000.00	12.00	-999.00	-999.00	-999.00	141.00	564	-999.00	-999.00	"1,2,11"
Cetacea	Delphinidae	Pseudorca	crassidens	1360000.00	14.92	-999.00	16.50	-999.00	114.73	750	-999.00	0.14	"1,2,23,26"
Cetacea	Delphinidae	Sotalia	fluviatilis	46666.67	10.70	-999.00	-999.00	-999.00	-999.00	-999	1.00	-999.00	"1,2"
Cetacea	Delphinidae	Stenella	coeruleoalba	122950.00	12.10	11300.00	14.83	-999.00	94.65	684	1.50	0.31	"1,2,11,23"
Cetacea	Delphinidae	Stenella	longirostris	70333.33	10.40	-999.00	18.00	-999.00	61.96	-999	1.00	0.33	"1,2,11,23,26"
