MSW05_Order	MSW05_Family	MSW05_Genus	MSW05_Species	MSW05_Binomial	1-1_ActivityCycle	5-1_AdultBodyMass_g	8-1_AdultForearmLen_mm	13-1_AdultHeadBodyLen_mm	2-1_AgeatEyeOpening_d	3-1_AgeatFirstBirth_d	18-1_BasalMetRate_mLO2hr	5-2_BasalMetRateMass_g	6-1_DietBreadth	7-1_DispersalAge_d	9-1_GestationLen_d	12-1_HabitatBreadth	22-1_HomeRange_km2	22-2_HomeRange_Indiv_km2	14-1_InterbirthInterval_d	15-1_LitterSize	16-1_LittersPerYear	17-1_MaxLongevity_m	5-3_NeonateBodyMass_g	13-2_NeonateHeadBodyLen_mm	21-1_PopulationDensity_n/km2	10-1_PopulationGrpSize	23-1_SexualMaturityAge_d	10-2_SocialGrpSize	24-1_TeatNumber	12-2_Terrestriality	6-2_TrophicLevel	25-1_WeaningAge_d	5-4_WeaningBodyMass_g	13-3_WeaningHeadBodyLen_mm	References	5-5_AdultBodyMass_g_EXT	16-2_LittersPerYear_EXT	5-6_NeonateBodyMass_g_EXT	5-7_WeaningBodyMass_g_EXT	26-1_GR_Area_km2	26-2_GR_MaxLat_dd	26-3_GR_MinLat_dd	26-4_GR_MidRangeLat_dd	26-5_GR_MaxLong_dd	26-6_GR_MinLong_dd	26-7_GR_MidRangeLong_dd	27-1_HuPopDen_Min_n/km2	27-2_HuPopDen_Mean_n/km2	27-3_HuPopDen_5p_n/km2	27-4_HuPopDen_Change	28-1_Precip_Mean_mm	28-2_Temp_Mean_01degC	30-1_AET_Mean_mm	30-2_PET_Mean_mm
Primates	Pitheciidae	Callicebus	lugens	Callicebus lugens	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999	-999.00	-999	-999.00	-999.00	-999.00	-999	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00
Primates	Pitheciidae	Callicebus	medemi	Callicebus medemi	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999	-999.00	-999	-999.00	-999.00	-999.00	-999	-999.00	-999.00	-999.00	-999.00	36587.57	0.95	-1.66	-0.35	-74.42	-76.71	-75.56	1	5.60	1.00	0.15	152.17	292.08	1435.56	1446.17
Primates	Pitheciidae	Callicebus	melanochir	Callicebus melanochir	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999	-999.00	-999	-999.00	-999.00	-999.00	-999	-999.00	-999.00	-999.00	-999.00	60497.71	-12.83	-18.16	-15.50	-38.72	-40.46	-39.59	7	46.93	11.00	0.08	137.48	232.78	1460.59	1650.42
Primates	Pitheciidae	Callicebus	modestus	Callicebus modestus	3.00	992.40	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	1.00	-999.00	-999.00	-999.00	1.02	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	1.00	-999	2.00	-999	-999.00	-999.00	-999.00	1605;1633;2151;2655	-999.00	-999.00	-999.00	-999.00	17288.42	-14.25	-15.67	-14.96	-65.93	-67.39	-66.66	1	2.76	1.00	0.47	119.01	225.42	1432.14	1548.82
Didelphimorphia	Didelphidae	Caluromys	derbianus	Caluromys derbianus	1.00	326.72	-999.00	231.00	-999.00	-999.00	215.11	344.00	3.00	-999.00	-999.00	1.00	-999.00	-999.00	-999.00	3.14	-999.00	60.00	-999.00	-999.00	11.86	-999.00	251.71	1.00	-999	2.00	2	-999.00	-999.00	-999.00	256;498;730;889;890;905;955;1297;1412;1822;2151;2655	-999.00	-999.00	-999.00	-999.00	678553.48	20.73	-2.92	8.90	-76.63	-98.33	-87.48	2	53.45	3.00	0.14	189.71	234.61	1341.70	1596.59
Didelphimorphia	Didelphidae	Caluromys	lanatus	Caluromys lanatus	1.00	350.33	-999.00	273.30	-999.00	-999.00	-999.00	-999.00	4.00	-999.00	-999.00	2.00	-999.00	-999.00	-999.00	-999.00	-999.00	60.00	-999.00	-999.00	-999.00	-999.00	-999.00	1.00	-999	2.00	2	-999.00	-999.00	-999.00	543;889;890;905;2151;2655	-999.00	-999.00	-999.00	-999.00	3683731.12	9.07	-28.10	-9.51	-53.20	-77.39	-65.29	0	5.36	0.00	0.13	175.31	245.59	1392.87	1501.45
Didelphimorphia	Didelphidae	Caluromys	philander	Caluromys philander	1.00	246.47	-999.00	224.27	75.00	334.58	-999.00	-999.00	4.00	-999.00	23.99	2.00	9.960363e-03	0.02	166.50	4.18	2.00	76.00	0.20	10.00	62.32	-999.00	314.52	1.00	7	2.00	2	119.65	23.00	-999.00	133;256;543;730;889;890;905;955;1297;1533;1534;1573;1760;1773;2151;2159;2225;2431;2655	-999.00	-999.00	-999.00	-999.00	3212264.13	12.20	-24.58	-6.19	-40.35	-72.87	-56.61	0	39.68	0.00	0.12	144.03	239.14	1356.51	1583.70
Didelphimorphia	Didelphidae	Caluromysiops	irrupta	Caluromysiops irrupta	1.00	257.48	-999.00	234.52	-999.00	-999.00	-999.00	-999.00	3.00	-999.00	-999.00	1.00	-999.00	-999.00	-999.00	2.00	-999.00	94.00	-999.00	-999.00	8.85	-999.00	-999.00	1.00	-999	2.00	2	-999.00	-999.00	-999.00	543;730;889;905;1297;2151;2655	-999.00	-999.00	-999.00	-999.00	188864.44	-9.34	-12.69	-11.01	-61.99	-73.48	-67.73	0	3.51	0.00	0.27	189.96	246.03	1362.63	1563.51
Cingulata	Dasypodidae	Calyptophractus	retusus	Calyptophractus retusus	-999.00	129.99	-999.00	157.50	-999.00	-999.00	-999.00	-999.00	4.00	-999.00	-999.00	2.00	-999.00	-999.00	-999.00	-999.00	-999.00	144.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999	1.00	2	-999.00	-999.00	-999.00	543;890;899;2151;2655	-999.00	-999.00	-999.00	-999.00	1081453.80	-12.69	-29.92	-21.30	-56.47	-65.76	-61.11	0	4.33	0.00	0.12	87.68	228.45	1016.90	1327.63
Artiodactyla	Camelidae	Camelus	bactrianus	Camelus bactrianus	-999.00	554515.91	-999.00	-999.00	-999.00	1460.00	-999.00	-999.00	2.00	-999.00	397.99	1.00	-999.00	-999.00	730.00	1.39	1.00	480.00	34346.64	-999.00	0.06	-999.00	1330.60	6.20	-999	1.00	1	368.13	-999.00	-999.00	511;543;600;719;899;1297;1848;2401;2655;2987	-999.00	-999.00	-999.00	-999.00	188693.00	44.71	37.98	41.34	97.58	90.75	94.17	0	1.83	0.00	0.01	9.94	53.72	66.85	612.43
Artiodactyla	Bovidae	Bos	sauveli	Bos sauveli	2.00	791321.76	-999.00	2175.00	-999.00	-999.00	-999.00	-999.00	2.00	-999.00	-999.00	1.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	755.15	20.00	-999	1.00	1	-999.00	-999.00	-999.00	511;899;1525;1848;2655	-999.00	-999.00	-999.00	-999.00	115557.18	15.48	12.04	13.76	107.85	102.98	105.42	2	36.95	3.00	0.12	170.36	251.45	1144.18	1581.73
Artiodactyla	Bovidae	Bos	taurus	Bos taurus	-999.00	618642.42	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	280.48	-999.00	10.04	-999.00	-999.00	-999.00	1.00	240.00	-999.00	-999.00	-999.00	-999.00	755.15	-999.00	-999	-999.00	-999	-999.00	-999.00	-999.00	543;1052;1577;1594;1758;1848;2655	-999.00	-999.00	-999.00	-999.00	44447.62	15.08	11.85	13.46	108.99	107.08	108.04	2	42.48	3.00	0.15	174.94	228.73	1193.98	1450.23
Artiodactyla	Bovidae	Boselaphus	tragocamelus	Boselaphus tragocamelus	-999.00	182253.04	-999.00	2000.00	-999.00	912.50	-999.00	-999.00	5.00	-999.00	248.49	-999.00	-999.00	-999.00	400.50	1.39	-999.00	260.40	5875.00	-999.00	2.39	-999.00	-999.00	-999.00	-999	-999.00	1	-999.00	-999.00	-999.00	543;730;1297;1525;1848;2655;2986	-999.00	1.05	-999.00	-999.00	2192564.81	33.00	11.71	22.35	87.08	68.93	78.00	2	313.30	76.50	0.09	86.66	247.40	750.64	1450.38
Rodentia	Muridae	Brachiones	przewalskii	Brachiones przewalskii	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999	-999.00	-999	-999.00	-999.00	-999.00	-999	-999.00	-999.00	-999.00	-999.00	940177.90	42.86	35.46	39.16	102.85	77.15	90.00	0	5.36	0.00	0.05	17.27	68.34	79.67	681.81
Carnivora	Canidae	Canis	mesomelas	Canis mesomelas	2.00	8247.30	-999.00	707.27	-999.00	-999.00	-999.00	-999.00	6.00	270.00	62.50	1.00	11.93	12.82	273.75	3.89	-999.00	168.00	177.20	-999.00	0.74	-999.00	241.40	-999.00	8	1.00	2	34.10	-999.00	-999.00	542;543;730;1113;1297;1573;2655	-999.00	1.27	-999.00	-999.00	6248779.95	16.47	-34.83	-9.18	51.41	11.71	31.56	0	30.81	0.00	0.11	49.27	213.33	661.36	1468.10
Carnivora	Canidae	Canis	simensis	Canis simensis	3.00	14361.86	-999.00	938.19	-999.00	-999.00	-999.00	-999.00	1.00	180.00	63.61	1.00	4.20	5.02	365.00	-999.00	-999.00	-999.00	-999.00	-999.00	1.20	-999.00	754.74	-999.00	8	1.00	3	69.60	-999.00	-999.00	542;730;1113;1573;2655	-999.00	1.10	-999.00	-999.00	11402.81	13.31	6.55	9.93	39.96	38.02	38.99	30	99.87	30.00	0.15	83.87	99.03	931.35	1471.36
Rodentia	Spalacidae	Cannomys	badius	Cannomys badius	-999.00	472.07	-999.00	-999.00	-999.00	-999.00	172.00	344.00	-999.00	-999.00	41.49	-999.00	-999.00	-999.00	-999.00	2.00	-999.00	48.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999	-999.00	-999	50.10	-999.00	-999.00	543;1297;1822;2655	-999.00	-999.00	-999.00	-999.00	818286.00	27.85	11.82	19.83	105.88	84.65	95.26	4	86.50	9.00	0.07	159.67	213.64	1063.45	1473.54
Rodentia	Cricetidae	Cansumys	canus	Cansumys canus	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999	-999.00	-999	-999.00	-999.00	-999.00	-999	-999.00	-999.00	-999.00	-999.00	267130.76	35.60	31.09	33.34	115.62	102.25	108.94	4	218.11	8.00	0.06	58.53	103.16	742.53	877.60
Cetacea	Neobalaenidae	Caperea	marginata	Caperea marginata	-999.00	31999999.98	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	0.98	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999	-999.00	-999	-999.00	-999.00	-999.00	1297;2655	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00
Artiodactyla	Bovidae	Capra	caucasica	Capra caucasica	-999.00	58149.52	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	155.00	-999.00	-999.00	-999.00	-999.00	1.09	-999.00	264.00	-999.00	-999.00	-999.00	-999.00	1015.00	-999.00	3	-999.00	-999	-999.00	-999.00	-999.00	543;1297;1525;1848;2555;2655	-999.00	-999.00	-999.00	-999.00	32781.87	43.82	40.83	42.33	48.52	40.00	44.26	9	40.22	10.50	0.02	57.31	-9.89	612.18	710.43
Artiodactyla	Bovidae	Capra	falconeri	Capra falconeri	3.00	54303.37	-999.00	1590.00	-999.00	730.00	-999.00	-999.00	2.00	-999.00	167.98	1.00	-999.00	-999.00	-999.00	1.73	-999.00	168.00	-999.00	-999.00	-999.00	11.00	1015.00	-999.00	-999	1.00	1	167.29	-999.00	-999.00	511;543;899;1297;1525;1848;2555;2655	-999.00	-999.00	-999.00	-999.00	155075.85	38.90	28.84	33.87	75.48	65.04	70.26	4	88.36	12.00	0.16	22.18	108.54	340.32	1154.28
Artiodactyla	Bovidae	Capra	hircus	Capra hircus	-999.00	47386.47	-999.00	-999.00	-999.00	669.16	-999.00	-999.00	2.00	-999.00	156.00	-999.00	98.30	47.24	365.00	1.45	-999.00	249.60	2136.11	375.56	7.58	-999.00	498.97	-999.00	3	-999.00	1	158.04	-999.00	-999.00	453;543;730;1052;1297;1525;1573;1594;1598;1848;2555;2655;2986	-999.00	1.10	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00
Artiodactyla	Bovidae	Capra	ibex	Capra ibex	-999.00	69546.83	-999.00	-999.00	-999.00	912.50	-999.00	-999.00	2.00	-999.00	167.50	1.00	-999.00	-999.00	547.50	1.11	-999.00	267.60	2779.07	-999.00	-999.00	-999.00	838.54	-999.00	3	1.00	1	111.75	15683.39	-999.00	511;543;1297;1525;1763;1848;2555;2655	-999.00	0.89	-999.00	-999.00	145098.13	47.90	43.76	45.83	15.50	4.76	10.13	12	135.27	26.00	0.03	87.78	42.76	586.20	627.49
Erinaceomorpha	Erinaceidae	Atelerix	algirus	Atelerix algirus	1.00	903.98	-999.00	214.76	-999.00	-999.00	-999.00	-999.00	3.00	-999.00	39.25	-999.00	-999.00	-999.00	-999.00	2.50	2.00	84.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999	-999.00	2	39.70	-999.00	-999.00	543;678;1456;2408;2655;2786	-999.00	-999.00	-999.00	-999.00	815329.89	37.34	30.13	33.74	21.77	-9.89	5.94	1	95.57	3.00	0.11	26.26	167.59	327.17	1147.59
Erinaceomorpha	Erinaceidae	Atelerix	frontalis	Atelerix frontalis	1.00	329.12	-999.00	181.82	10.00	-999.00	-999.00	-999.00	6.00	-999.00	37.13	1.00	-999.00	-999.00	-999.00	4.99	1.50	-999.00	10.55	52.60	-999.00	-999.00	411.43	1.00	6	1.00	2	34.80	-999.00	-999.00	678;1109;1297;1455;1456;2408;2629;2655;2786	-999.00	-999.00	-999.00	-999.00	1497998.13	-12.43	-33.62	-23.03	31.09	11.76	21.42	0	16.70	1.00	0.10	42.24	186.90	578.50	1322.65
Erinaceomorpha	Erinaceidae	Atelerix	sclateri	Atelerix sclateri	1.00	-999.00	-999.00	129.99	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999	-999.00	-999	-999.00	-999.00	-999.00	678;1456	66.17	-999.00	-999.00	-999.00	198274.28	11.98	6.32	9.15	51.41	45.44	48.42	1	5.95	2.00	0.04	12.20	245.23	155.21	1766.15
Primates	Atelidae	Ateles	belzebuth	Ateles belzebuth	3.00	6692.42	-999.00	459.30	-999.00	-999.00	-999.00	-999.00	2.00	-999.00	138.20	1.00	2.28	3.24	-999.00	1.02	-999.00	336.00	-999.00	-999.00	13.49	-999.00	-999.00	14.50	-999	2.00	1	-999.00	-999.00	-999.00	208;543;730;890;1297;1544;1547;1848;2151;2308;2344;2463;2655;2660;2912;2986	-999.00	-999.00	-999.00	-999.00	1030364.23	4.08	-4.98	-0.44	-60.12	-78.54	-69.33	0	2.79	0.00	0.11	227.01	257.68	1493.34	1512.96
Primates	Atelidae	Ateles	chamek	Ateles chamek	3.00	7053.92	-999.00	454.28	-999.00	-999.00	-999.00	-999.00	2.00	-999.00	-999.00	1.00	1.16	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	3.39	-999.00	-999.00	-999.00	-999	2.00	1	-999.00	-999.00	-999.00	1544;1547;1848;2145;2151;2251;2655;2912	-999.00	-999.00	-999.00	-999.00	990902.31	-2.58	-11.43	-7.01	-62.25	-77.21	-69.73	0	1.62	0.00	0.10	194.51	254.97	1504.72	1569.06
Primates	Atelidae	Ateles	fusciceps	Ateles fusciceps	3.00	9067.94	-999.00	489.15	-999.00	1773.90	-999.00	-999.00	2.00	-999.00	224.70	1.00	-999.00	-999.00	851.66	1.01	-999.00	288.00	499.99	-999.00	-999.00	-999.00	1799.68	-999.00	-999	2.00	1	482.70	-999.00	-999.00	208;543;1297;1544;1547;1848;2151;2344;2489;2493;2655;2660;2986	-999.00	0.71	-999.00	-999.00	201579.73	11.11	1.77	6.44	-73.92	-79.12	-76.52	3	85.93	4.00	0.11	220.34	240.81	1483.74	1654.37
Primates	Atelidae	Ateles	geoffroyi	Ateles geoffroyi	3.00	7582.40	-999.00	433.07	-999.00	2080.50	-999.00	-999.00	2.00	-999.00	226.37	1.00	0.73	1.07	1048.15	1.01	-999.00	327.60	425.85	-999.00	19.06	-999.00	2104.57	42.00	-999	2.00	1	816.35	3478.06	-999.00	208;730;1297;1544;1547;1763;1767;1848;2145;2151;2344;2463;2488;2489;2493;2655;2660;2912;2986	-999.00	0.64	-999.00	-999.00	806609.19	24.09	0.67	12.38	-70.23	-98.85	-84.54	2	55.14	4.00	0.14	153.93	243.16	1344.08	1624.94
Primates	Atelidae	Ateles	hybridus	Ateles hybridus	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999	-999.00	-999	-999.00	-999.00	-999.00	-999	-999.00	-999.00	-999.00	-999.00	144643.82	11.35	6.26	8.80	-66.36	-75.27	-70.82	1	54.00	1.00	0.13	114.72	255.57	1343.77	1685.22
